order_id,order_date,ship_date,delivery_date,warehouse_id,destination_region,product_category,carrier,shipping_cost,delivery_status
ORD-10018,2025-01-02,2025-01-05,2025-01-09,CA-02,South,Home & Kitchen,FedEx,31.67,On-Time
ORD-10019,2025-03-29,2025-03-30,2025-04-01,IL-04,Midwest,Home & Kitchen,FedEx,30.05,On-Time
ORD-10020,2025-06-07,2025-06-08,2025-06-11,NY-01,Northeast,Sports,DHL,42.84,On-Time
ORD-10021,2025-02-07,2025-02-08,2025-02-11,NY-01,West,Beauty,USPS,35.46,On-Time
ORD-10022,2025-05-10,2025-05-15,2025-05-20,NY-01,South,Electronics,UPS,44.61,Late
ORD-10023,2025-01-21,2025-01-22,2025-01-24,IL-04,Northeast,Apparel,USPS,44.93,On-Time
ORD-10024,2025-06-10,2025-06-14,2025-06-18,CA-02,Northeast,Electronics,FedEx,23.37,On-Time
ORD-10025,2025-02-27,2025-03-02,2025-03-10,CA-02,Midwest,Beauty,USPS,11.18,On-Time
ORD-10026,2025-01-22,2025-01-23,2025-01-28,CA-02,Northeast,Electronics,UPS,33.36,On-Time
ORD-10027,2025-03-30,2025-04-04,2025-04-12,TX-03,Midwest,Home & Kitchen,FedEx,44.32,Late
ORD-10028,2025-02-18,2025-02-19,2025-02-25,NY-01,West,Home & Kitchen,USPS,8.37,On-Time
ORD-10029,2025-02-28,2025-03-01,2025-03-07,NY-01,Midwest,Beauty,USPS,30.11,On-Time
ORD-10030,2025-06-19,2025-06-22,2025-06-28,TX-03,South,Sports,USPS,10.17,On-Time
ORD-10031,2025-01-15,2025-01-18,2025-01-21,NY-01,Northeast,Electronics,FedEx,6.21,On-Time
ORD-10032,2025-06-24,2025-06-26,2025-07-02,NY-01,West,Beauty,DHL,35.58,Late
ORD-10033,2025-02-20,2025-02-21,2025-02-23,TX-03,Midwest,Apparel,DHL,35.68,On-Time
ORD-10034,2025-04-18,2025-04-20,2025-04-24,NY-01,Midwest,Apparel,UPS,32.03,On-Time
ORD-10035,2025-02-24,2025-02-27,2025-03-03,CA-02,Midwest,Sports,FedEx,43.67,On-Time
ORD-10036,2025-03-05,2025-03-06,2025-03-10,TX-03,West,Home & Kitchen,FedEx,8.64,On-Time
ORD-10037,2025-05-11,2025-05-12,2025-05-15,NY-01,West,Beauty,DHL,9.74,On-Time
ORD-10038,2025-02-20,2025-02-21,2025-02-26,CA-02,South,Electronics,UPS,43.9,On-Time
ORD-10039,2025-05-15,2025-05-16,2025-05-22,IL-04,West,Beauty,UPS,27.65,Late
ORD-10040,2025-01-21,2025-01-25,2025-01-30,NY-01,Midwest,Sports,FedEx,17.29,On-Time
ORD-10041,2025-03-14,2025-03-16,2025-03-20,TX-03,West,Beauty,FedEx,38.22,On-Time
ORD-10042,2025-06-16,2025-06-21,2025-06-25,CA-02,Midwest,Sports,UPS,45.25,On-Time
ORD-10043,2025-01-18,2025-01-19,2025-01-21,IL-04,South,Sports,UPS,36.03,On-Time
ORD-10044,2025-05-12,2025-05-15,2025-05-16,IL-04,South,Sports,DHL,40.64,On-Time
ORD-10045,2025-03-30,2025-03-31,2025-04-03,NY-01,Midwest,Beauty,UPS,17.71,On-Time
ORD-10046,2025-03-01,2025-03-02,2025-03-07,IL-04,West,Apparel,USPS,17.99,On-Time
ORD-10047,2025-01-14,2025-01-15,2025-01-18,TX-03,West,Electronics,FedEx,43.89,Late
ORD-10048,2025-01-09,2025-01-10,2025-01-13,IL-04,Northeast,Sports,FedEx,32.67,On-Time
ORD-10049,2025-03-31,2025-04-02,2025-04-06,NY-01,South,Home & Kitchen,UPS,15.54,On-Time
ORD-10050,2025-02-22,2025-02-27,2025-03-04,IL-04,South,Sports,FedEx,28.59,On-Time
ORD-10051,2025-05-10,2025-05-12,2025-05-15,NY-01,Midwest,Beauty,FedEx,35.86,On-Time
ORD-10052,2025-03-25,2025-03-26,2025-03-28,IL-04,Northeast,Sports,DHL,14.83,On-Time
ORD-10053,2025-04-02,2025-04-03,2025-04-07,CA-02,West,Home & Kitchen,UPS,34.47,On-Time
ORD-10054,2025-04-21,2025-04-22,2025-04-25,NY-01,Midwest,Apparel,FedEx,6.9,On-Time
ORD-10055,2025-06-21,2025-06-23,2025-06-25,TX-03,West,Beauty,FedEx,18.67,On-Time
ORD-10056,2025-01-08,2025-01-11,2025-01-14,TX-03,West,Beauty,FedEx,35.33,On-Time
ORD-10057,2025-06-24,2025-06-28,2025-07-05,IL-04,West,Beauty,DHL,11.72,Late
ORD-10058,2025-02-04,2025-02-05,2025-02-07,CA-02,Northeast,Home & Kitchen,FedEx,15.0,On-Time
ORD-10059,2025-03-22,2025-03-24,2025-03-27,IL-04,South,Beauty,FedEx,44.56,On-Time
ORD-10060,2025-06-13,2025-06-15,2025-06-18,IL-04,South,Apparel,UPS,35.34,On-Time
ORD-10061,2025-02-19,2025-02-21,2025-02-25,CA-02,West,Electronics,FedEx,27.45,On-Time
ORD-10062,2025-04-14,2025-04-16,2025-04-17,NY-01,Northeast,Electronics,FedEx,14.49,On-Time
ORD-10063,2025-05-12,2025-05-14,2025-05-17,TX-03,West,Sports,FedEx,20.36,On-Time
ORD-10064,2025-01-02,2025-01-04,2025-01-08,CA-02,West,Electronics,FedEx,30.84,On-Time
ORD-10065,2025-05-14,2025-05-15,2025-05-18,IL-04,Midwest,Home & Kitchen,FedEx,11.99,On-Time
ORD-10066,2025-02-23,2025-02-26,2025-03-01,NY-01,Northeast,Electronics,FedEx,26.68,On-Time
ORD-10067,2025-04-16,2025-04-17,2025-04-22,IL-04,Northeast,Home & Kitchen,USPS,23.4,On-Time
ORD-10068,2025-01-04,2025-01-06,2025-01-08,NY-01,South,Home & Kitchen,FedEx,26.45,On-Time
ORD-10069,2025-02-23,2025-02-25,2025-03-06,TX-03,South,Sports,USPS,9.75,Late
ORD-10070,2025-05-26,2025-05-28,2025-06-02,TX-03,West,Electronics,USPS,9.79,On-Time
ORD-10071,2025-02-13,2025-02-17,2025-02-22,NY-01,Midwest,Sports,UPS,48.38,On-Time
ORD-10072,2025-06-11,2025-06-15,2025-06-22,TX-03,Midwest,Beauty,FedEx,49.07,Late
ORD-10073,2025-01-14,2025-01-17,2025-01-22,IL-04,Midwest,Apparel,FedEx,24.18,Late
ORD-10074,2025-04-05,2025-04-07,2025-04-11,NY-01,West,Electronics,USPS,40.5,On-Time
ORD-10075,2025-02-17,2025-02-20,2025-02-24,IL-04,South,Beauty,UPS,34.51,On-Time
ORD-10076,2025-01-15,2025-01-17,2025-01-24,NY-01,Northeast,Beauty,UPS,10.26,Late
ORD-10077,2025-02-09,2025-02-13,2025-02-15,IL-04,West,Sports,FedEx,18.35,On-Time
ORD-10078,2025-03-23,2025-03-25,2025-03-26,TX-03,Midwest,Sports,DHL,19.11,On-Time
ORD-10079,2025-04-21,2025-04-26,2025-04-29,CA-02,Midwest,Apparel,FedEx,31.81,On-Time
ORD-10080,2025-02-22,2025-02-26,2025-03-02,IL-04,West,Apparel,UPS,31.1,On-Time
ORD-10081,2025-01-24,2025-01-27,2025-01-29,NY-01,Midwest,Apparel,UPS,46.56,On-Time
ORD-10082,2025-06-03,2025-06-04,2025-06-07,TX-03,Northeast,Apparel,FedEx,40.55,On-Time
ORD-10083,2025-05-04,2025-05-05,2025-05-09,NY-01,West,Sports,UPS,43.56,On-Time
ORD-10084,2025-02-10,2025-02-14,2025-02-19,IL-04,Northeast,Home & Kitchen,USPS,45.11,On-Time
ORD-10085,2025-06-06,2025-06-07,2025-06-10,NY-01,South,Sports,USPS,41.06,On-Time
ORD-10086,2025-01-15,2025-01-19,2025-01-28,NY-01,Midwest,Home & Kitchen,USPS,19.98,Late
ORD-10087,2025-02-14,2025-02-16,2025-02-18,IL-04,Midwest,Sports,UPS,14.68,On-Time
ORD-10088,2025-03-06,2025-03-08,2025-03-12,TX-03,South,Sports,UPS,30.73,On-Time
ORD-10089,2025-03-30,2025-04-03,2025-04-07,TX-03,South,Apparel,FedEx,36.03,On-Time
ORD-10090,2025-03-12,2025-03-14,2025-03-18,IL-04,South,Home & Kitchen,UPS,22.4,On-Time
ORD-10091,2025-01-09,2025-01-11,2025-01-12,TX-03,Midwest,Beauty,FedEx,43.18,On-Time
ORD-10092,2025-03-29,2025-03-31,2025-04-05,CA-02,South,Beauty,UPS,48.23,Late
ORD-10093,2025-05-09,2025-05-10,2025-05-13,NY-01,West,Beauty,FedEx,30.62,On-Time
ORD-10094,2025-05-16,2025-05-19,2025-05-24,IL-04,South,Apparel,UPS,25.55,On-Time
ORD-10095,2025-03-04,2025-03-05,2025-03-11,CA-02,West,Beauty,UPS,42.93,Late
ORD-10096,2025-05-19,2025-05-23,2025-05-24,NY-01,West,Sports,DHL,6.09,On-Time
ORD-10097,2025-03-22,2025-03-26,2025-03-29,IL-04,Northeast,Apparel,UPS,10.81,On-Time
ORD-10098,2025-05-16,2025-05-17,2025-05-19,TX-03,West,Beauty,DHL,43.05,On-Time
ORD-10099,2025-06-12,2025-06-15,2025-06-16,IL-04,West,Apparel,USPS,37.94,On-Time
ORD-10100,2025-06-12,2025-06-14,2025-06-17,IL-04,South,Sports,UPS,23.73,On-Time
ORD-10101,2025-02-02,2025-02-03,2025-02-05,NY-01,Midwest,Apparel,UPS,45.0,On-Time
ORD-10102,2025-05-03,2025-05-08,2025-05-13,NY-01,South,Beauty,FedEx,20.82,Late
ORD-10103,2025-01-05,2025-01-06,2025-01-12,NY-01,Northeast,Apparel,USPS,33.52,On-Time
ORD-10104,2025-02-10,2025-02-11,2025-02-16,CA-02,Northeast,Electronics,UPS,33.55,On-Time
ORD-10105,2025-01-28,2025-01-30,2025-02-01,TX-03,Midwest,Beauty,DHL,13.29,On-Time
ORD-10106,2025-05-15,2025-05-17,2025-05-19,IL-04,West,Sports,UPS,17.82,On-Time
ORD-10107,2025-03-13,2025-03-15,2025-03-21,IL-04,Northeast,Home & Kitchen,USPS,46.22,On-Time
ORD-10108,2025-01-12,2025-01-15,2025-01-22,TX-03,Midwest,Apparel,USPS,13.25,Late
ORD-10109,2025-06-11,2025-06-13,2025-06-16,IL-04,South,Apparel,FedEx,12.81,On-Time
ORD-10110,2025-02-02,2025-02-04,2025-02-05,NY-01,South,Beauty,FedEx,26.58,On-Time
ORD-10111,2025-02-17,2025-02-18,2025-02-23,IL-04,South,Beauty,UPS,9.15,On-Time
ORD-10112,2025-05-31,2025-06-01,2025-06-06,TX-03,West,Electronics,UPS,45.26,On-Time
ORD-10113,2025-03-03,2025-03-04,2025-03-08,CA-02,West,Sports,FedEx,9.51,Late
ORD-10114,2025-02-06,2025-02-07,2025-02-14,CA-02,Midwest,Apparel,USPS,32.75,On-Time
ORD-10115,2025-04-09,2025-04-11,2025-04-14,TX-03,Northeast,Apparel,UPS,20.29,On-Time
ORD-10116,2025-06-21,2025-06-22,2025-06-28,IL-04,South,Home & Kitchen,DHL,41.19,Late
ORD-10117,2025-04-14,2025-04-15,2025-04-20,IL-04,West,Apparel,USPS,31.54,On-Time
ORD-10118,2025-02-04,2025-02-05,2025-02-09,CA-02,West,Apparel,UPS,22.47,On-Time
ORD-10119,2025-04-11,2025-04-15,2025-04-17,IL-04,Northeast,Electronics,DHL,49.27,On-Time
ORD-10120,2025-06-24,2025-06-28,2025-06-30,CA-02,South,Home & Kitchen,UPS,7.98,On-Time
ORD-10121,2025-05-11,2025-05-13,2025-05-20,TX-03,South,Apparel,USPS,31.0,Late
ORD-10122,2025-01-01,2025-01-05,2025-01-09,TX-03,Northeast,Apparel,UPS,49.53,On-Time
ORD-10123,2025-01-05,2025-01-08,2025-01-13,IL-04,Midwest,Sports,UPS,36.09,On-Time
ORD-10124,2025-05-22,2025-05-24,2025-05-26,NY-01,Midwest,Apparel,UPS,38.29,On-Time
ORD-10125,2025-04-13,2025-04-14,2025-04-17,NY-01,Northeast,Electronics,UPS,6.44,On-Time
ORD-10126,2025-01-27,2025-01-30,2025-02-02,CA-02,Northeast,Apparel,UPS,5.96,On-Time
ORD-10127,2025-05-17,2025-05-20,2025-05-23,TX-03,Midwest,Apparel,UPS,6.62,On-Time
ORD-10128,2025-01-15,2025-01-17,2025-01-19,CA-02,Northeast,Beauty,FedEx,49.63,On-Time
ORD-10129,2025-03-31,2025-04-03,2025-04-05,TX-03,South,Apparel,DHL,49.08,On-Time
ORD-10130,2025-02-11,2025-02-13,2025-02-16,CA-02,Midwest,Home & Kitchen,UPS,20.05,On-Time
ORD-10131,2025-05-04,2025-05-07,2025-05-10,CA-02,Midwest,Beauty,UPS,18.09,On-Time
ORD-10132,2025-06-28,2025-07-02,2025-07-07,CA-02,Midwest,Home & Kitchen,UPS,11.57,On-Time
ORD-10133,2025-03-04,2025-03-05,2025-03-15,IL-04,South,Home & Kitchen,USPS,19.81,Late
ORD-10134,2025-04-06,2025-04-09,2025-04-11,NY-01,Northeast,Electronics,DHL,21.66,On-Time
ORD-10135,2025-02-21,2025-02-23,2025-02-25,TX-03,West,Apparel,UPS,38.67,On-Time
ORD-10136,2025-04-06,2025-04-08,2025-04-12,CA-02,West,Home & Kitchen,FedEx,43.98,On-Time
ORD-10137,2025-05-12,2025-05-15,2025-05-16,NY-01,South,Apparel,UPS,38.6,On-Time
ORD-10138,2025-05-31,2025-06-01,2025-06-03,CA-02,South,Apparel,UPS,34.09,On-Time
ORD-10139,2025-05-23,2025-05-25,2025-06-02,CA-02,Northeast,Electronics,USPS,39.47,Late
ORD-10140,2025-06-20,2025-06-21,2025-06-24,TX-03,West,Electronics,UPS,38.23,On-Time
ORD-10141,2025-01-29,2025-01-31,2025-02-01,IL-04,Midwest,Home & Kitchen,DHL,26.41,On-Time
ORD-10142,2025-02-05,2025-02-07,2025-02-12,CA-02,South,Home & Kitchen,UPS,20.11,On-Time
ORD-10143,2025-01-13,2025-01-16,2025-01-18,TX-03,West,Beauty,DHL,17.73,On-Time
ORD-10144,2025-06-09,2025-06-10,2025-06-12,IL-04,Midwest,Apparel,FedEx,35.57,On-Time
ORD-10145,2025-03-12,2025-03-14,2025-03-19,IL-04,Midwest,Apparel,USPS,48.17,On-Time
ORD-10146,2025-03-27,2025-03-28,2025-03-30,NY-01,Northeast,Electronics,DHL,31.15,On-Time
ORD-10147,2025-01-28,2025-02-01,2025-02-02,NY-01,South,Electronics,DHL,46.06,On-Time
ORD-10148,2025-03-07,2025-03-11,2025-03-13,CA-02,Midwest,Home & Kitchen,FedEx,5.64,On-Time
ORD-10149,2025-06-19,2025-06-24,2025-06-26,NY-01,South,Beauty,FedEx,40.75,On-Time
ORD-10150,2025-02-14,2025-02-17,2025-02-21,TX-03,West,Beauty,UPS,43.41,On-Time
ORD-10151,2025-03-03,2025-03-06,2025-03-08,TX-03,West,Electronics,FedEx,33.39,On-Time
ORD-10152,2025-05-14,2025-05-15,2025-05-19,NY-01,South,Electronics,FedEx,47.03,On-Time
ORD-10153,2025-01-28,2025-01-29,2025-01-30,TX-03,Midwest,Beauty,FedEx,31.55,On-Time
ORD-10154,2025-01-28,2025-01-30,2025-02-03,TX-03,Midwest,Beauty,UPS,15.82,On-Time
ORD-10155,2025-04-18,2025-04-21,2025-04-24,CA-02,West,Home & Kitchen,UPS,14.71,On-Time
ORD-10156,2025-02-13,2025-02-17,2025-02-22,CA-02,Midwest,Beauty,FedEx,30.01,On-Time
ORD-10157,2025-03-25,2025-03-26,2025-03-29,TX-03,Midwest,Apparel,FedEx,45.79,On-Time
ORD-10158,2025-01-30,2025-02-03,2025-02-06,NY-01,West,Beauty,UPS,8.26,On-Time
ORD-10159,2025-03-16,2025-03-18,2025-03-21,TX-03,Northeast,Sports,UPS,32.2,On-Time
ORD-10160,2025-05-08,2025-05-10,2025-05-13,IL-04,West,Beauty,FedEx,39.64,On-Time
ORD-10161,2025-04-02,2025-04-03,2025-04-06,IL-04,South,Electronics,UPS,10.19,On-Time
ORD-10162,2025-05-09,2025-05-10,2025-05-11,IL-04,Northeast,Electronics,DHL,10.25,On-Time
ORD-10163,2025-05-01,2025-05-03,2025-05-05,CA-02,South,Sports,DHL,21.48,On-Time
ORD-10164,2025-01-27,2025-01-29,2025-01-31,NY-01,Northeast,Apparel,DHL,17.32,On-Time
ORD-10165,2025-05-01,2025-05-02,2025-05-09,TX-03,Northeast,Beauty,USPS,13.92,On-Time
ORD-10166,2025-04-26,2025-04-28,2025-05-03,NY-01,West,Beauty,UPS,13.94,On-Time
ORD-10167,2025-01-03,2025-01-07,2025-01-09,NY-01,West,Sports,UPS,10.88,On-Time
ORD-10168,2025-04-13,2025-04-16,2025-04-19,NY-01,South,Home & Kitchen,UPS,32.49,On-Time
ORD-10169,2025-06-04,2025-06-08,2025-06-12,IL-04,West,Home & Kitchen,UPS,35.97,On-Time
ORD-10170,2025-05-17,2025-05-18,2025-05-20,TX-03,Northeast,Apparel,FedEx,36.63,On-Time
ORD-10171,2025-03-03,2025-03-04,2025-03-08,CA-02,West,Beauty,UPS,28.96,On-Time
ORD-10172,2025-06-14,2025-06-17,2025-06-20,NY-01,South,Beauty,UPS,,On-Time
ORD-10173,2025-02-20,2025-02-22,2025-02-26,NY-01,Northeast,Beauty,FedEx,44.62,On-Time
ORD-10174,2025-06-21,2025-06-22,2025-07-03,IL-04,South,Electronics,USPS,48.09,Late
ORD-10175,2025-06-01,2025-06-02,2025-06-04,IL-04,Midwest,Home & Kitchen,FedEx,22.5,On-Time
ORD-10176,2025-02-28,2025-03-02,2025-03-06,TX-03,West,Sports,FedEx,44.5,On-Time
ORD-10177,2025-04-28,2025-04-29,2025-05-01,CA-02,Northeast,Electronics,FedEx,39.33,On-Time
ORD-10178,2025-06-09,2025-06-10,2025-06-15,CA-02,South,Electronics,UPS,20.3,On-Time
ORD-10179,2025-04-06,2025-04-07,2025-04-09,IL-04,West,Home & Kitchen,FedEx,9.8,On-Time
ORD-10180,2025-06-29,2025-06-30,2025-07-03,TX-03,West,Beauty,DHL,35.72,On-Time
ORD-10181,2025-04-23,2025-04-25,2025-04-27,NY-01,South,Apparel,UPS,,On-Time
ORD-10182,2025-03-03,2025-03-05,2025-03-08,TX-03,Northeast,Sports,UPS,18.22,On-Time
ORD-10183,2025-02-21,2025-02-23,2025-02-25,CA-02,South,Home & Kitchen,FedEx,27.52,On-Time
ORD-10184,2025-01-12,2025-01-13,2025-01-19,IL-04,West,Apparel,UPS,35.59,On-Time
ORD-10185,2025-02-08,2025-02-09,2025-02-17,NY-01,South,Home & Kitchen,USPS,46.68,Late
ORD-10186,2025-05-10,2025-05-12,2025-05-17,NY-01,Midwest,Home & Kitchen,UPS,31.7,On-Time
ORD-10187,2025-05-11,2025-05-13,2025-05-22,CA-02,West,Home & Kitchen,USPS,35.21,On-Time
ORD-10188,2025-04-23,2025-04-25,2025-04-27,NY-01,Northeast,Home & Kitchen,DHL,18.95,On-Time
ORD-10189,2025-04-11,2025-04-12,2025-04-17,TX-03,Midwest,Beauty,USPS,35.93,On-Time
ORD-10190,2025-04-23,2025-04-27,2025-04-29,CA-02,South,Electronics,UPS,24.7,On-Time
ORD-10191,2025-03-22,2025-03-23,2025-03-30,CA-02,Northeast,Home & Kitchen,FedEx,43.56,Late
ORD-10192,2025-04-23,2025-04-25,2025-04-29,NY-01,Midwest,Apparel,UPS,22.66,On-Time
ORD-10193,2025-01-02,2025-01-04,2025-01-06,CA-02,South,Apparel,UPS,26.07,On-Time
ORD-10194,2025-05-10,2025-05-12,,IL-04,Midwest,Apparel,USPS,24.47,Lost
ORD-10195,2025-02-23,2025-02-24,2025-03-06,TX-03,West,Electronics,USPS,41.5,Late
ORD-10196,2025-03-28,2025-03-30,2025-04-02,CA-02,Northeast,Electronics,USPS,47.92,On-Time
ORD-10197,2025-05-09,2025-05-12,2025-05-20,IL-04,Midwest,Apparel,USPS,,On-Time
ORD-10198,2025-05-27,2025-05-28,2025-06-01,NY-01,West,Beauty,FedEx,26.38,On-Time
ORD-10199,2025-05-06,2025-05-07,2025-05-10,CA-02,South,Electronics,FedEx,36.77,On-Time
ORD-10200,2025-05-10,2025-05-11,2025-05-13,IL-04,West,Electronics,FedEx,45.29,On-Time
ORD-10201,2025-02-22,2025-02-25,2025-02-27,NY-01,South,Beauty,DHL,27.22,On-Time
ORD-10202,2025-06-21,2025-06-22,2025-07-04,IL-04,Northeast,Home & Kitchen,USPS,9.9,On-Time
ORD-10203,2025-06-09,2025-06-14,2025-06-16,NY-01,West,Electronics,UPS,21.59,On-Time
ORD-10204,2025-06-09,2025-06-11,2025-06-16,TX-03,West,Apparel,USPS,29.77,On-Time
ORD-10205,2025-03-09,2025-03-14,2025-03-24,CA-02,South,Apparel,USPS,23.79,On-Time
ORD-10206,2025-05-03,2025-05-07,2025-05-09,TX-03,Midwest,Beauty,DHL,13.4,On-Time
ORD-10207,2025-05-25,2025-05-27,2025-05-30,TX-03,South,Apparel,USPS,6.66,On-Time
ORD-10208,2025-02-07,2025-02-08,2025-02-11,CA-02,Midwest,Sports,UPS,35.93,On-Time
ORD-10209,2025-01-24,2025-01-25,2025-01-29,TX-03,South,Apparel,UPS,49.67,On-Time
ORD-10210,2025-03-10,2025-03-11,2025-03-16,TX-03,Northeast,Beauty,FedEx,46.36,On-Time
ORD-10211,2025-04-26,2025-04-29,2025-04-30,IL-04,Midwest,Beauty,UPS,35.75,On-Time
ORD-10212,2025-04-08,2025-04-09,2025-04-13,NY-01,West,Beauty,UPS,42.87,On-Time
ORD-10213,2025-05-19,2025-05-20,2025-05-22,TX-03,Midwest,Sports,FedEx,16.51,On-Time
ORD-10214,2025-05-24,2025-05-26,2025-05-29,CA-02,South,Electronics,USPS,33.01,On-Time
ORD-10215,2025-04-07,2025-04-11,2025-04-13,IL-04,South,Home & Kitchen,UPS,7.73,On-Time
ORD-10216,2025-05-04,2025-05-05,2025-05-07,NY-01,Midwest,Apparel,DHL,36.82,On-Time
ORD-10217,2025-03-11,2025-03-12,2025-03-15,TX-03,West,Electronics,FedEx,48.64,On-Time
ORD-10218,2025-04-03,2025-04-04,2025-04-08,TX-03,Northeast,Beauty,UPS,43.74,On-Time
ORD-10219,2025-01-03,2025-01-07,2025-01-14,CA-02,West,Electronics,UPS,29.05,Late
ORD-10220,2025-05-28,2025-05-30,2025-06-03,TX-03,Midwest,Electronics,FedEx,40.49,On-Time
ORD-10221,2025-06-13,2025-06-14,2025-06-18,CA-02,South,Sports,UPS,47.48,On-Time
ORD-10222,2025-05-27,2025-05-28,2025-05-29,TX-03,West,Beauty,FedEx,14.72,On-Time
ORD-10223,2025-03-31,2025-04-01,2025-04-04,TX-03,South,Beauty,FedEx,40.7,On-Time
ORD-10224,2025-05-27,2025-05-28,2025-05-31,CA-02,South,Apparel,FedEx,17.14,On-Time
ORD-10225,2025-05-28,2025-06-01,2025-06-05,NY-01,West,Apparel,FedEx,44.46,On-Time
ORD-10226,2025-04-06,2025-04-09,2025-04-12,IL-04,Midwest,Apparel,USPS,9.43,On-Time
ORD-10227,2025-02-21,2025-02-23,2025-02-25,CA-02,West,Apparel,FedEx,13.02,On-Time
ORD-10228,2025-06-10,2025-06-14,2025-06-20,NY-01,Northeast,Electronics,UPS,37.43,On-Time
ORD-10229,2025-06-17,2025-06-18,2025-06-25,NY-01,South,Electronics,USPS,12.86,Late
ORD-10230,2025-05-08,2025-05-11,2025-05-16,CA-02,South,Apparel,UPS,12.11,On-Time
ORD-10231,2025-02-08,2025-02-12,2025-02-14,IL-04,Midwest,Apparel,DHL,30.0,On-Time
ORD-10232,2025-03-23,2025-03-24,2025-03-29,CA-02,South,Apparel,USPS,42.57,On-Time
ORD-10233,2025-04-14,2025-04-17,2025-04-25,TX-03,South,Home & Kitchen,USPS,17.08,On-Time
ORD-10234,2025-05-09,2025-05-10,2025-05-16,TX-03,South,Apparel,FedEx,42.85,On-Time
ORD-10235,2025-01-11,2025-01-12,2025-01-17,NY-01,West,Home & Kitchen,USPS,41.36,Late
ORD-10236,2025-06-27,2025-06-28,2025-07-02,TX-03,South,Apparel,USPS,31.06,Late
ORD-10237,2025-05-31,2025-06-02,2025-06-04,IL-04,West,Beauty,UPS,34.1,On-Time
ORD-10238,2025-06-08,2025-06-11,2025-06-15,CA-02,Midwest,Sports,FedEx,6.82,On-Time
ORD-10239,2025-02-11,2025-02-15,2025-02-17,IL-04,Northeast,Electronics,UPS,21.52,On-Time
ORD-10240,2025-04-09,2025-04-11,2025-04-12,NY-01,South,Beauty,USPS,16.85,On-Time
ORD-10241,2025-01-07,2025-01-11,2025-01-16,TX-03,Northeast,Sports,UPS,11.75,Late
ORD-10242,2025-05-24,2025-05-27,2025-06-01,TX-03,West,Home & Kitchen,USPS,22.53,On-Time
ORD-10243,2025-03-31,2025-04-01,2025-04-04,CA-02,Midwest,Electronics,FedEx,,On-Time
ORD-10244,2025-04-22,2025-04-24,2025-05-01,IL-04,Midwest,Home & Kitchen,USPS,37.8,On-Time
ORD-10245,2025-03-01,2025-03-02,2025-03-05,IL-04,West,Home & Kitchen,FedEx,31.91,Late
ORD-10246,2025-04-23,2025-04-25,2025-04-27,CA-02,Northeast,Electronics,FedEx,46.09,On-Time
ORD-10247,2025-01-02,2025-01-06,2025-01-09,TX-03,South,Sports,UPS,11.54,On-Time
ORD-10248,2025-05-09,2025-05-10,2025-05-11,NY-01,West,Electronics,FedEx,7.69,On-Time
ORD-10249,2025-02-17,2025-02-20,2025-02-23,NY-01,West,Apparel,FedEx,29.06,On-Time
ORD-10250,2025-05-20,2025-05-22,2025-05-25,CA-02,West,Home & Kitchen,FedEx,5.05,On-Time
ORD-10251,2025-02-06,2025-02-08,2025-02-10,CA-02,West,Apparel,UPS,40.45,On-Time
ORD-10252,2025-06-09,2025-06-10,2025-06-12,CA-02,West,Electronics,DHL,27.77,On-Time
